epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,3372.73,0.2109,0.17897,0.90463,0.99907,1,0.995,0.98922,0.20717,0.1491,0.70565,0.0003566,0.0003566,0.0003566
85,3411.97,0.20544,0.17856,0.90753,0.99907,1,0.995,0.99196,0.20466,0.14929,0.70805,0.0003368,0.0003368,0.0003368
86,3451.17,0.20613,0.17692,0.90291,0.99905,1,0.995,0.99173,0.19583,0.14057,0.69858,0.000317,0.000317,0.000317
87,3490.21,0.20218,0.17881,0.90672,0.99907,1,0.995,0.98963,0.20232,0.14432,0.69869,0.0002972,0.0002972,0.0002972
88,3529.23,0.1956,0.17015,0.90817,1,1,0.995,0.99266,0.19544,0.14415,0.6917,0.0002774,0.0002774,0.0002774
89,3568.35,0.19448,0.16872,0.89873,0.99907,1,0.995,0.99399,0.1859,0.13439,0.68731,0.0002576,0.0002576,0.0002576
90,3607.55,0.18751,0.17238,0.90028,0.99906,1,0.995,0.99309,0.18862,0.13214,0.68841,0.0002378,0.0002378,0.0002378
91,3662.56,0.15118,0.1177,0.88801,0.99896,1,0.995,0.99437,0.20834,0.14623,0.69649,0.000218,0.000218,0.000218
92,3701.6,0.1492,0.11601,0.89291,0.99904,1,0.995,0.9943,0.20361,0.14101,0.69571,0.0001982,0.0001982,0.0001982
93,3740.69,0.1445,0.10989,0.87343,0.99906,1,0.995,0.99426,0.1945,0.13305,0.68632,0.0001784,0.0001784,0.0001784
94,3779.61,0.14161,0.1098,0.87282,0.99907,1,0.995,0.99422,0.19542,0.1389,0.68773,0.0001586,0.0001586,0.0001586
95,3818.52,0.14285,0.11563,0.87903,0.99899,1,0.995,0.99413,0.19895,0.14229,0.68835,0.0001388,0.0001388,0.0001388
96,3857.54,0.13726,0.10439,0.86974,0.99905,1,0.995,0.99411,0.18311,0.131,0.67775,0.000119,0.000119,0.000119
97,3896.52,0.14275,0.10817,0.87632,0.99905,1,0.995,0.99203,0.1942,0.13446,0.68251,9.92e-05,9.92e-05,9.92e-05
98,3935.52,0.13575,0.10305,0.87589,1,1,0.995,0.99284,0.1917,0.13451,0.68607,7.94e-05,7.94e-05,7.94e-05
99,3974.46,0.13205,0.10211,0.87216,1,1,0.995,0.99443,0.18501,0.12772,0.68031,5.96e-05,5.96e-05,5.96e-05
100,4013.4,0.13175,0.09768,0.87267,1,1,0.995,0.9941,0.18494,0.12323,0.67636,3.98e-05,3.98e-05,3.98e-05
